District,Beds,Nursing_Center,Pop,GDP,GDPpc,Province,Year,Lagged_Beds,Poorer
Longzhou County,0.09,14,26.53,63.5,23935.16773,Guangxi,2012,0.09,1
Mashan County,0.11,15,55.26,40.39,7309.084329,Guangxi,2012,0.09,1
Luocheng Mulao Autonomous County,0.07,14,37.79,34.11,9026.197407,Guangxi,2012,0.07,1
Cenxi City,0.17,17,91.87,189.04,20576.90214,Guangxi,2012,0.16,1
Beiliu City,0.27,15,142.73,209,14643.0323,Guangxi,2012,0.26,1
Rongshui Miao Autonomous County,0.11,21,50.06,58.24,11634.03915,Guangxi,2012,0.1,1
Tiandong County,0.14,14,42.64,112.02,26271.10694,Guangxi,2012,0.13,1
Longlin Gezu Autonomous County,0.09,19,42.19,42.96,10182.5077,Guangxi,2012,0.07,1
Ningming County,0.08,15,43.6,79.03,18126.14679,Guangxi,2012,0.07,1
Debao County,0.08,14,36.59,51.22,13998.36021,Guangxi,2012,0.08,1
Duan Yao Autonomous County,0.13,20,71.14,31.46,4422.265954,Guangxi,2012,0.11,1
Lingchuan County,0.11,11,38.11,105.71,27738.12648,Guangxi,2012,0.1,1
Teng County,0.17,19,103.57,160.86,15531.52457,Guangxi,2012,0.15,1
Sanjiang Dong Autonomous County,0.07,16,38.35,34.51,8998.696219,Guangxi,2012,0.07,1
Wuming County,0.2,16,69.16,222.93,32233.95026,Guangxi,2012,0.18,1
Lingshan County,0.38,20,158.49,141.71,8941.258124,Guangxi,2012,0.28,1
Daxin County,0.07,16,37.37,82.19,21993.57774,Guangxi,2012,0.07,1
Heng County,0.2,20,121.17,222.61,18371.70917,Guangxi,2012,0.18,1
Yizhou City,0.24,18,66.29,87.79,13243.32479,Guangxi,2012,0.23,1
Zhongshan County,0.11,14,51.45,63.61,12363.45967,Guangxi,2012,0.1,1
Binyang County,0.24,20,103.92,140.13,13484.41109,Guangxi,2012,0.22,1
Hepu County,0.31,36,105.62,164.55,15579.43571,Guangxi,2012,0.23,1
Tianlin County,0.06,17,25.54,27.12,10618.63743,Guangxi,2012,0.06,1
Guiping City,0.31,29,191.81,217.25,11326.3125,Guangxi,2012,0.26,1
Pingnan County,0.32,26,146.7,159.28,10857.53238,Guangxi,2012,0.24,1
Bobai County,0.3,35,179.42,199.14,11099.09709,Guangxi,2012,0.28,1
Quanzhou County,0.14,21,82.86,130.75,15779.62829,Guangxi,2012,0.12,1
Hezhou City,,,,,#DIV/0!,Guangxi,2012,,1
Baise City,,,,,#DIV/0!,Guangxi,2012,,1
Hechi City,,,,,#DIV/0!,Guangxi,2012,,1
Tianzhu County,0.06,2,40.51,41.37,10212.29326,Guizhou,2012,0.06,1
Kaiyang County,0.14,1,43.86,102.88,23456.45235,Guizhou,2012,0.14,1
Anlong County,0.08,1,46.66,54.1,11594.5135,Guizhou,2012,0.08,1
Shibing County,0.04,3,16.87,19.75,11707.1725,Guizhou,2012,0.05,1
Taijiang County,0.04,4,16.14,15.4,9541.511772,Guizhou,2012,0.04,1
Danzhai County,0.06,4,16.88,15.22,9016.587678,Guizhou,2012,0.04,1
Changshun County,0.06,1,25.86,26.54,10262.95437,Guizhou,2012,0.04,1
Sansui County,0.08,5,22.19,20.69,9324.019829,Guizhou,2012,0.06,1
Qinglong County,0.04,6,33.66,31.06,9227.569816,Guizhou,2012,0.03,1
Guiding County,0.06,2,29.18,44.11,15116.51816,Guizhou,2012,0.05,1
Dejiang County,0.16,1,52.56,50.52,9611.872146,Guizhou,2012,0.16,1
Pingba County,0.1,5,35.59,62.2,17476.81933,Guizhou,2012,0.09,1
Cengong County,0.07,2,22.79,22.39,9824.484423,Guizhou,2012,0.04,1
Zhenyuan County,0.07,1,26.85,38.6,14376.16387,Guizhou,2012,0.05,1
Huishui County,0.08,3,45.11,43.12,9558.856129,Guizhou,2012,0.06,1
Sandu Shui Autonomous County,0.05,3,36.01,27.91,7750.624826,Guizhou,2012,0.05,1
Xiuwen County,0.07,6,30.58,71.24,23296.27207,Guizhou,2012,0.06,1
Liping County,0.16,7,53.13,39.27,7391.304348,Guizhou,2012,0.1,1
Fuquan City,0.11,9,32.92,79.63,24188.94289,Guizhou,2012,0.09,1
Libo County,0.05,6,17.58,27.47,15625.71104,Guizhou,2012,0.05,1
Yuqing County,0.1,8,29.9,36.58,12234.11371,Guizhou,2012,0.08,1
Majiang County,0.06,4,21.74,21.85,10050.59798,Guizhou,2012,0.05,1
Jinping County,0.08,5,22.72,21.12,9295.774648,Guizhou,2012,0.05,1
Puan County,0.06,12,33.68,36.73,10905.58195,Guizhou,2012,0.05,1
Pingtang County,0.04,3,32.29,26.64,8250.23227,Guizhou,2012,0.04,1
Guanling Buyi and Miao Autonomous County,0.09,7,37.57,42.3,11258.98323,Guizhou,2012,0.08,1
Rongjiang County,0.06,8,35.58,29.75,8361.439011,Guizhou,2012,0.06,1
Duyun City,0.24,4,48.05,110.16,22926.11863,Guizhou,2012,0.26,1
Xifeng County,0.08,10,25.73,84.34,32778.85736,Guizhou,2012,0.07,1
Dushan County,0.07,4,34.81,36.62,10519.96553,Guizhou,2012,0.05,1
Leishan County,0.05,6,15.3,14.59,9535.947712,Guizhou,2012,0.04,1
Jianhe County,0.08,5,25.57,21.83,8537.348455,Guizhou,2012,0.06,1
Yuping Dong Autonomous County,0.05,6,15.26,39.06,25596.33028,Guizhou,2012,0.04,1
Kaili City,0.33,10,50.04,119.85,23950.83933,Guizhou,2012,0.26,1
Xingren County,0.09,13,53.62,64.47,12023.49869,Guizhou,2012,0.09,1
Luodian County,0.07,2,34.22,33.99,9932.787843,Guizhou,2012,0.06,1
Weng'an County,0.12,11,46.62,60.57,12992.27799,Guizhou,2012,0.12,1
Xishui County,0.21,23,71.79,74.53,10381.66876,Guizhou,2012,0.2,1
Congjiang County,0.16,11,34.73,29.06,8367.405701,Guizhou,2012,0.07,1
Puding County,0.09,12,47.68,50.49,10589.34564,Guizhou,2012,0.08,1
Zhenning Buyi and Miao Autonomous County,0.07,16,38.74,43.85,11319.05008,Guizhou,2012,0.05,1
Xingyi City,0.46,23,83.05,199.96,24077.06201,Guizhou,2012,0.41,1
Yinjiang Tujia and Miao Autonomous County,0.09,14,43.76,40.41,9234.460695,Guizhou,2012,0.05,1
Ceheng County,0.04,14,23.76,18.97,7984.006734,Guizhou,2012,0.04,1
Wuchuan Gelao and Miao Autonomous County,0.1,14,45.02,28.29,6283.873834,Guizhou,2012,0.07,1
Zhenfeng County,0.07,18,41.38,53.4,12904.78492,Guizhou,2012,0.07,1
Fenggang County,0.11,12,43.18,32.29,7477.999074,Guizhou,2012,0.09,1
Jiangkou County,0.04,10,24.15,23.26,9631.469979,Guizhou,2012,0.03,1
Shiqian County,0.09,15,41.29,32.21,7800.92032,Guizhou,2012,0.07,1
Qingzhen City,0.14,11,49.8,144.16,28947.79116,Guizhou,2012,0.13,1
Daozhen Gelao and Miao Autonomous County,0.1,15,34.1,24.68,7237.536657,Guizhou,2012,0.09,1
